evaluation_number,timestamp,optimization_run,algorithm,current_fidelity,switch_reason,computational_cost_seconds,accuracy_estimate,cumulative_cost,cost_savings_vs_high_fidelity,convergence_rate,uncertainty_level,decision_confidence
20,2024-08-14T11:15:25Z,spacecraft_deep_space_003,GeneticAlgorithm,medium,convergence_acceleration,2.3,0.92,3.81,0.748,0.48,0.72,0.87
25,2024-08-14T11:15:35Z,spacecraft_deep_space_003,GeneticAlgorithm,medium,selection_pressure,2.1,0.91,14.31,0.619,0.42,0.68,0.84
35,2024-08-14T11:15:58Z,spacecraft_deep_space_003,GeneticAlgorithm,high,elite_verification,16.5,0.97,35.81,0.481,0.25,0.48,0.93
40,2024-08-14T11:16:25Z,spacecraft_deep_space_003,GeneticAlgorithm,high,final_optimization,15.9,0.96,67.71,0.365,0.12,0.42,0.95
45,2024-08-14T11:16:50Z,spacecraft_deep_space_003,GeneticAlgorithm,medium,population_diversity,2.2,0.90,79.71,0.321,0.08,0.55,0.78
50,2024-08-14T11:17:05Z,spacecraft_deep_space_003,GeneticAlgorithm,low,final_exploration,0.08,0.82,80.11,0.289,0.05,0.68,0.72
1,2024-08-14T11:30:01Z,aircraft_cargo_004,GeneticAlgorithm,low,initialization,0.08,0.81,0.08,0.995,0.0,0.94,0.89
8,2024-08-14T11:30:09Z,aircraft_cargo_004,GeneticAlgorithm,low,early_generations,0.09,0.80,0.72,0.952,0.28,0.91,0.86
15,2024-08-14T11:30:18Z,aircraft_cargo_004,GeneticAlgorithm,medium,convergence_trend,2.4,0.93,3.32,0.778,0.45,0.78,0.88
22,2024-08-14T11:30:32Z,aircraft_cargo_004,GeneticAlgorithm,medium,fitness_improvement,2.2,0.92,18.72,0.583,0.38,0.71,0.85
30,2024-08-14T11:30:48Z,aircraft_cargo_004,GeneticAlgorithm,high,critical_evaluation,16.1,0.96,34.82,0.446,0.22,0.51,0.92
35,2024-08-14T11:31:15Z,aircraft_cargo_004,GeneticAlgorithm,high,performance_verification,15.8,0.97,66.42,0.331,0.12,0.45,0.94
42,2024-08-14T11:31:45Z,aircraft_cargo_004,GeneticAlgorithm,medium,fine_tuning,2.1,0.91,78.92,0.289,0.08,0.58,0.81
48,2024-08-14T11:32:00Z,aircraft_cargo_004,GeneticAlgorithm,low,final_diversity,0.07,0.82,79.34,0.251,0.04,0.71,0.74
1,2024-08-14T11:45:01Z,spacecraft_mars_orbiter_004,ParticleSwarmOptimization,low,initialization,0.07,0.82,0.07,0.995,0.0,0.95,0.90
4,2024-08-14T11:45:05Z,spacecraft_mars_orbiter_004,ParticleSwarmOptimization,low,swarm_exploration,0.08,0.81,0.31,0.979,0.38,0.89,0.87
8,2024-08-14T11:45:10Z,spacecraft_mars_orbiter_004,ParticleSwarmOptimization,medium,velocity_convergence,2.2,0.91,2.71,0.819,0.52,0.74,0.86
12,2024-08-14T11:45:18Z,spacecraft_mars_orbiter_004,ParticleSwarmOptimization,medium,gbest_refinement,2.1,0.92,11.11,0.629,0.41,0.68,0.88
16,2024-08-14T11:45:28Z,spacecraft_mars_orbiter_004,ParticleSwarmOptimization,high,precision_search,15.7,0.96,26.81,0.492,0.25,0.48,0.93
20,2024-08-14T11:45:55Z,spacecraft_mars_orbiter_004,ParticleSwarmOptimization,high,final_convergence,16.3,0.97,43.11,0.371,0.08,0.39,0.95
24,2024-08-14T11:46:25Z,spacecraft_mars_orbiter_004,ParticleSwarmOptimization,medium,swarm_diversity,2.0,0.90,51.11,0.327,0.05,0.56,0.82
28,2024-08-14T11:46:35Z,spacecraft_mars_orbiter_004,ParticleSwarmOptimization,low,exploration_final,0.08,0.83,51.43,0.285,0.03,0.69,0.75
